region	Australia and New Zealand	#918151
region	Central Asia	#708090
region	Eastern Asia	#0014a8
region	Eastern Europe	#9f00ff
region	Latin America and the Caribbean	#177245
region	Melanesia	#f984ef
region	Micronesia	#ffae42
region	Northern Africa	#03c03c
region	Northern America	#915f6d
region	Northern Europe	#f7e98e
region	Polynesia	#0070ff
region	South-eastern Asia	#663854
region	Southern Asia	#e8000d
region	Southern Europe	#5F9EA0
region	Sub-Saharan Africa	#00ced1
region	Western Asia	#ffa07a
region	Western Europe	#b5651d
